# Expected column widths from Prettier's own getStringWidth, not from this repository.
#
# Generated by running prettier 3.9.6's src/utilities/get-string-width.js verbatim
# (sha256 37f49dbe5815f5b191c246499e38887b2869eae3c12b4df31c7b5c6bba6802cf) against
# emoji-regex 10.6.0, get-east-asian-width 1.6.0 and narrow-emojis 0.0.3 under Node.
# Because the file is an oracle dump, a line may only be changed by regenerating it
# against a Prettier release - never by writing down what this package currently returns.
#
# Coverage: the worked examples from the #185 width spec, every narrow-emojis code point
# bare and again with U+FE0F, and one representative sequence per emoji-test.txt subgroup
# per qualification status (Unicode emoji 17.0, 2025-08-04). The same generator run over
# every emoji-test.txt sequence, each also embedded in ASCII, doubled, and placed beside
# wide and combining neighbours, produced 20900 cases that all agree with displayWidth;
# that full sweep is development evidence and is deliberately not committed at 860 KiB.
#
# Code points are hex, space separated; an empty field is the empty string.
# width	code points (hex)	description
1	2714	bare heavy check mark (narrow list)
1	26A0	bare warning sign (narrow list)
2	26A0 FE0F	warning sign + VS16 (emoji presentation leaves the narrow list)
1	00A9 FE0E	copyright + VS15 (text presentation stays narrow)
2	00A9 FE0F	copyright + VS16
2	1F468 200D 1F469 200D 1F467 200D 1F466	ZWJ family
2	0031 FE0F 20E3	keycap digit one
2	0031 20E3	keycap without VS16
2	1F1FA 1F1F8	regional indicator flag
4	6F22 5B57	CJK ideographs
2	05D0 05B7	Hebrew alef + patah (combining mark outside 0300-036F)
1	0061 0301	latin a + combining acute (inside 0300-036F)
1	0009 0061	TAB then ascii (control skip via the non-ascii slow path)
11	0070 006C 0061 0069 006E 0020 0061 0073 0063 0069 0069	plain ascii shortcut
0		empty
1	1F1FA	lone regional indicator
5	1F44D 200D 1F44D	unsanctioned ZWJ join
3	1F44D 200D	trailing joiner
2	0041 20E3	keycap base that is not a digit
2	1F3F4 E0067 E0062 E0073 E0063 E0074 E007F	subdivision flag tag sequence
3	1F3F4 E0067	unterminated tag sequence
2	1F44D 1F3FD	skin tone modifier
3	00A9 1F3FB	narrow-list base followed by a skin tone (two separate emoji matches)
2	1F9D1 200D 1F91D 200D 1F9D1	people holding hands ZWJ
3	0061 007F 0062	delete character
2	0061 0085 0062	C1 control
8	FF46 FF55 FF4C FF4C	fullwidth latin
4	0063 0061 0066 00E9	latin-1 accented
5	2192 0020 2190 0020 2191	arrows outside the emoji set
1	0023	hash without keycap
20	0066 0065 0061 0074 0028 0078 0029 003A 0020 0073 0068 0069 0070 0020 1F680 0020 006E 006F 0077	realistic issue title
1	00A9	narrow-list U+A9 bare
1	00AE	narrow-list U+AE bare
2	00AE FE0F	narrow-list U+AE + VS16
1	203C	narrow-list U+203C bare
2	203C FE0F	narrow-list U+203C + VS16
1	2049	narrow-list U+2049 bare
2	2049 FE0F	narrow-list U+2049 + VS16
1	2122	narrow-list U+2122 bare
2	2122 FE0F	narrow-list U+2122 + VS16
1	2139	narrow-list U+2139 bare
2	2139 FE0F	narrow-list U+2139 + VS16
1	2194	narrow-list U+2194 bare
2	2194 FE0F	narrow-list U+2194 + VS16
1	2195	narrow-list U+2195 bare
2	2195 FE0F	narrow-list U+2195 + VS16
1	2196	narrow-list U+2196 bare
2	2196 FE0F	narrow-list U+2196 + VS16
1	2197	narrow-list U+2197 bare
2	2197 FE0F	narrow-list U+2197 + VS16
1	2198	narrow-list U+2198 bare
2	2198 FE0F	narrow-list U+2198 + VS16
1	2199	narrow-list U+2199 bare
2	2199 FE0F	narrow-list U+2199 + VS16
1	21A9	narrow-list U+21A9 bare
2	21A9 FE0F	narrow-list U+21A9 + VS16
1	21AA	narrow-list U+21AA bare
2	21AA FE0F	narrow-list U+21AA + VS16
1	2328	narrow-list U+2328 bare
2	2328 FE0F	narrow-list U+2328 + VS16
1	23CF	narrow-list U+23CF bare
2	23CF FE0F	narrow-list U+23CF + VS16
1	23ED	narrow-list U+23ED bare
2	23ED FE0F	narrow-list U+23ED + VS16
